CustomerID,CustomerName,Gender,Age,City,State,Income,TotalPurchases,PurchaseFrequency,AverageOrderValue,LastPurchaseDays,PreferredCategory,CustomerLifetimeValue,FuturePurchase
C254,Anjali Singh,Male,34,Jaipur,Rajasthan,120839,28,4,3874,54,Home & Kitchen,108472,3619.91
C255,Vikas Patel,Male,49,Ahmedabad,Gujarat,141183,4,1,3778,65,Fashion,15112,3677.17
C256,Sneha Verma,Female,52,Hyderabad,Telangana,93840,40,5,1752,51,Sports,70080,2287.79
C257,Meera Patel,Female,20,Jaipur,Rajasthan,143451,92,23,4481,53,Beauty,412252,7094.87
C258,Amit Kumar,Male,38,Hyderabad,Telangana,79384,90,10,5173,36,Beauty,465570,4284.74
C259,Divya Jain,Female,58,Kolkata,West Bengal,76005,242,22,2622,26,Home & Kitchen,634524,4715.11
C260,Anjali Patel,Female,19,Hyderabad,Telangana,71576,25,5,5030,29,Fashion,125750,3665.04
C261,Sneha Jain,Female,41,Bengaluru,Karnataka,64353,56,4,2650,21,Beauty,148400,2124.12
C262,Divya Patel,Male,45,Delhi,Delhi,87003,4,2,5359,11,Sports,21436,3469.74
C263,Nikhil Yadav,Male,43,Kolkata,West Bengal,108211,100,20,1829,40,Groceries,182900,4448.26
C264,Vikas Singh,Female,28,Ahmedabad,Gujarat,77733,80,10,1858,11,Electronics,148640,3483.9
C265,Neha Yadav,Male,40,Delhi,Delhi,90318,228,19,2982,36,Electronics,679896,4360.88
C266,Arjun Singh,Male,27,Bengaluru,Karnataka,134953,5,1,5042,59,Electronics,25210,3927.94
C267,Rohan Verma,Male,59,Ahmedabad,Gujarat,114474,336,24,2517,39,Fashion,845712,5576.85
C268,Sneha Kulkarni,Female,47,Delhi,Delhi,48664,35,5,1831,54,Home & Kitchen,64085,2089.26
C269,Yash Kulkarni,Female,58,Kolkata,West Bengal,92172,130,13,4844,55,Beauty,629720,4463.61
C270,Arjun Kumar,Male,48,Bengaluru,Karnataka,110616,8,4,4761,24,Groceries,38088,3536.94
C271,Anjali Mehta,Male,40,Lucknow,Uttar Pradesh,118264,224,16,1858,22,Sports,416192,4174.22
C272,Rahul Mehta,Female,46,Chennai,Tamil Nadu,140386,144,24,5615,69,Groceries,808560,7109.54
C273,Priya Gupta,Female,22,Mumbai,Maharashtra,51736,192,16,5137,56,Sports,986304,4450.84
C274,Nikhil Kumar,Male,46,Delhi,Delhi,119209,184,23,5354,33,Fashion,985136,6660.9
C275,Rohan Gupta,Female,50,Kolkata,West Bengal,128041,4,2,3677,36,Electronics,14708,3590.67
C276,Priya Kumar,Male,39,Pune,Maharashtra,137859,85,17,2628,20,Fashion,223380,4344.61
C277,Sneha Sharma,Male,46,Delhi,Delhi,137181,140,20,2680,83,Home & Kitchen,375200,5469.96
C278,Sneha Gupta,Female,36,Lucknow,Uttar Pradesh,25854,72,24,5392,81,Home & Kitchen,388224,5830.15
C279,Divya Gupta,Male,58,Hyderabad,Telangana,115084,132,12,637,62,Sports,84084,3786.79
C280,Rahul Gupta,Male,53,Bengaluru,Karnataka,63623,108,18,3972,73,Beauty,428976,4631.15
C281,Anjali Mehta,Male,39,Hyderabad,Telangana,32392,36,3,5949,26,Beauty,214164,2610.21
C282,Arjun Gupta,Female,59,Delhi,Delhi,80680,11,1,3332,66,Sports,36652,2639.67
C283,Arjun Jain,Male,37,Hyderabad,Telangana,71717,2,1,4079,73,Home & Kitchen,8158,2845.33
C284,Nikhil Kulkarni,Female,26,Chennai,Tamil Nadu,144937,133,19,3531,73,Home & Kitchen,469623,5613.78
C285,Rahul Kulkarni,Female,50,Chennai,Tamil Nadu,112092,77,11,4664,40,Home & Kitchen,359128,4728.8
C286,Amit Gupta,Female,29,Bengaluru,Karnataka,75859,70,5,3093,17,Fashion,216510,3273.33
C287,Vikas Kumar,Male,32,Jaipur,Rajasthan,129095,60,12,4800,1,Home & Kitchen,288000,4799.24
C288,Arjun Patel,Female,24,Pune,Maharashtra,51309,42,3,4318,89,Groceries,181356,2323.45
C289,Priya Kulkarni,Female,57,Chennai,Tamil Nadu,112455,9,1,4638,61,Electronics,41742,3637.93
C290,Nikhil Verma,Male,29,Pune,Maharashtra,88734,5,1,4323,43,Home & Kitchen,21615,3101.32
C291,Sneha Nair,Female,20,Kolkata,West Bengal,95467,72,8,4542,42,Sports,327024,4290.36
C292,Meera Kulkarni,Male,46,Hyderabad,Telangana,77662,140,10,2406,25,Electronics,336840,3377.97
C293,Anjali Nair,Female,32,Kolkata,West Bengal,123506,99,11,1260,39,Fashion,124740,3443.26
C294,Pooja Mehta,Female,30,Chennai,Tamil Nadu,134751,72,12,3945,35,Sports,284040,4971.67
C295,Yash Kumar,Female,42,Bengaluru,Karnataka,143906,182,13,1399,3,Electronics,254618,3865.6
C296,Divya Verma,Male,56,Chennai,Tamil Nadu,37688,60,12,4955,44,Sports,297300,3664.47
C297,Karan Sharma,Female,41,Pune,Maharashtra,50342,182,14,3447,51,Fashion,627354,3792.42
C298,Neha Nair,Male,36,Chennai,Tamil Nadu,62157,28,2,2219,12,Groceries,62132,1840.85
C299,Sneha Mehta,Female,50,Delhi,Delhi,92863,57,19,780,19,Fashion,44460,4686.36
C300,Divya Patel,Male,46,Pune,Maharashtra,131308,216,18,3766,44,Fashion,813456,4880.06
